id,mass (g),reclat,reclong
7807.0,10000.0,34.41667,3.25
45977.0,17226.0,25.37,-97.37
7819.0,5000.0,19.96722,-103.05167
7822.0,680.5,39.24667,-104.58817
7823.0,107000.0,50.18333,12.73333
7824.0,54640.0,47.83333,37.66667
10019.0,1470.0,51.75,4.0
10033.0,127.0,-29.46667,151.61667
10038.0,8000.0,30.3,109.5
10039.0,127000.0,47.86667,7.35
10041.0,277.0,48.18333,6.46667
10042.0,113.0,19.03333,81.89167
10043.0,107.2,40.3,44.5
10044.0,20000.0,1.16667,44.16667
10049.0,2250.0,52.21667,11.25
10051.0,1500.0,46.25,-1.1
10055.0,500.0,2.88333,30.83333
10059.0,320000.0,43.41667,-94.83333
10074.0,89400.0,39.75,-97.03333
10075.0,56000.0,35.55,-77.53333
10078.0,1500.0,44.38333,2.81667
10079.0,2360.0,36.05,-94.16667
10080.0,380.0,36.88333,8.45
10081.0,3200.0,32.53333,-87.16667
10086.0,82.0,34.6,116.75
10088.0,220.0,36.1,-81.41667
10091.0,10200.0,43.18111,13.75333
10107.0,17600.0,47.81667,-96.85
10111.0,3640.0,30.83333,-97.76667
10119.0,152000.0,43.25,-93.66667
10120.0,26000.0,-33.35,146.85833
10123.0,6067.0,36.78333,-78.08333
10163.0,240.0,50.95,7.31667
10164.0,16300.0,33.01667,-83.96667
10177.0,650.0,34.48333,-87.83333
52412.0,23000.0,31.47556,113.56694
10836.0,11620.0,33.18333,130.2
10839.0,4000.0,25.95,80.81667
10840.0,2500.0,32.9,115.9
10846.0,132.7,44.3,0.4
10848.0,36.1,7.05,12.43333
10849.0,28.0,7.05,12.43333
10850.0,5000.0,51.68333,30.78333
10851.0,6400.0,27.35,68.53333
10860.0,380.0,27.88333,68.53333
10861.0,102.0,41.68333,-112.13333
44882.0,4162.0,12.85,11.03333
10870.0,725.0,12.91667,11.91667
10914.0,14290.0,35.53333,136.88333
10917.0,18000.0,37.31667,13.56667
10919.0,480.0,9.6,9.91667
10923.0,670.0,52.2,6.86667
10924.0,1303.0,-7.25,107.7
10926.0,152000.0,57.35,37.61667
10930.0,767.0,52.45972,-0.3
10936.0,1750.0,50.66667,16.76667
10948.0,1600.0,24.23333,89.05
10949.0,3618.0,48.28333,38.08333
10956.0,9000.0,42.9,2.25
11196.0,45.5,60.66667,11.0
50911.0,215.0,43.2,-79.61667
11206.0,3500.0,43.66667,45.38333
11207.0,10500.0,49.26667,18.71667
11208.0,8000.0,46.35,30.58333
11426.0,1000.0,51.93333,15.5
11429.0,690.0,52.86667,16.63333
11432.0,22000.0,-33.0,-58.61667
